year,keyword,bigrams,count
2020,Organik Tarım,organik tarım,626
2021,Organik Tarım,organik tarım,540
2019,Organik Tarım,organik tarım,392
2018,Organik Tarım,organik tarım,366
2017,Organik Tarım,organik tarım,319
2014,Organik Tarım,organik tarım,273
2016,Organik Tarım,organik tarım,266
2014,Pestisit Kullanımı,ziraat fakültesi,251
2015,Pestisit Kullanımı,ziraat fakültesi,251
2021,Organik Tarım,geleneksel konvansiyonel,247
2021,Sürdürülebilir Tarım,sürdürülebilir tarım,235
2021,Organik Tarım,konvansiyonel kg,221
2015,Organik Tarım,organik tarım,219
2016,Savory Enstitüsü,resimli x,198
2016,Savory Enstitüsü,sona resimli,196
2016,Yeşil Gübreleme,yeşil gübre,176
2014,Pestisit Kullanımı,üniversitesi ziraat,176
2015,Pestisit Kullanımı,üniversitesi ziraat,176
2020,Savory Enstitüsü,katar duran,175
2020,Sürdürülebilir Tarım,sürdürülebilir tarım,166
2014,Meraların Onarımı,sözleşmesinden kaynaklanan,165
2021,Organik Tarım,tarım kg,161
2016,Fukuoka Doğal Tarım Yöntemi,taşıyıcı sistem,155
2021,Onarıcı Tarım,onarıcı tarım,151
2021,Dönüm hattı tasarımı,yüksek demiryolu,135
2019,Monokültür tarım,meşe palamudu,122
2015,Meraların Onarımı,oda sicil,122
2016,Savory Enstitüsü,x şömizli,119
2018,Kompost Özütü,tehlikeli maddeler,117
2021,Yeşil Gübreleme,aşama aşama,116
2017,Kompost Özütü,tehlikeli maddeler,116
2020,Kompost Özütü,tehlikeli maddeler,116
2018,Kompost Özütü,maddeler içeren,115
2017,Kompost Özütü,maddeler içeren,114
2020,Kompost Özütü,maddeler içeren,114
2016,Savory Enstitüsü,şömizli cildinde,112
2019,Toğrağa Karbon Gömme,çatı kaplama,112
2020,Pestisit Kullanımı,bitki koruma,107
2019,Pestisit Kullanımı,zehirsiz sofralar,106
2021,Ekolojik Onarım,şube müdürlüğü,105
2020,Organik Tarım,organik tarımın,105
2017,Ekolojik Onarım,şube müdürlüğü,105
2014,Toğrağa Karbon Gömme,anlaşılabilir arıcılık,105
2016,Bütüncül Yönetim,mimarlık bölümü,104
2019,Sürdürülebilir Tarım,sürdürülebilir tarım,103
2020,Toğrağa Karbon Gömme,perakende ticareti,103
2020,Organik Tarım,organik ürün,101
2020,Onarıcı Tarım,onarıcı tarım,101
2016,Savory Enstitüsü,x kağıt,100
2016,Bütüncül Yönetim,nükleer enerji,98
2017,Kompost Özütü,kaynaklanan atıklar,96
2016,Topraktaki Organik Madde Miktarı,yeşil gübre,96
2020,Kompost Özütü,kaynaklanan atıklar,96
2018,Kompost Özütü,kaynaklanan atıklar,96
2015,Meraların Onarımı,denetçi oda,94
2015,Organik Tarım,çetiner selim,94
2015,Meraların Onarımı,uygulama denetçisi,94
2015,Meraların Onarımı,denetçisi denetçi,94
2021,Pozitif Tarım,tarım orman,92
2016,Savory Enstitüsü,kağıt kapağında,92
2020,Pestisit Kullanımı,zehirsiz sofralar,90
2014,Yenileyici Tarım,simit sarayı,88
2018,Organik Tarım,sciences studies,87
2018,Organik Tarım,social sciences,87
2019,Organik Tarım,organik tarımın,87
2018,Organik Tarım,studies journal,87
2020,Kompost Özütü,kuş üzümü,87
2014,Toğrağa Karbon Gömme,kumanda kapağı,87
2018,Organik Tarım,journal sssjournal,87
2017,Sürdürülebilir Tarım,sürdürülebilir tarım,87
2018,Organik Tarım,sssjournal social,86
2020,Toğrağa Karbon Gömme,mala tahsis,85
2020,Toğrağa Karbon Gömme,belirli mala,85
2019,Pestisit Kullanımı,pestisit kullanımı,84
2020,Toğrağa Karbon Gömme,edilmiş mağazalarda,84
2020,Toğrağa Karbon Gömme,tahsis edilmiş,84
2020,Organik Tarım,aşağıda belirtilmiştir,82
2014,Toğrağa Karbon Gömme,fiyat listesi,82
2014,Toğrağa Karbon Gömme,listesi temmuz,81
2021,Onarıcı Tarım,ferrero fındık,81
2014,Meraların Onarımı,kaynaklanan tazminat,80
2020,Pestisit Kullanımı,pestisit kullanımı,80
2021,Topraktaki Organik Madde Miktarı,sulama suyu,80
2020,Kompost Özütü,frenk üzümü,79
2015,Meraların Onarımı,tarihli sayılı,78
2015,Pestisit Kullanımı,bitkileri bölümü,78
2014,Pestisit Kullanımı,bitkileri bölümü,78
