year,keyword,words,count
2020,Organik Tarım,organik,2054
2018,Organik Tarım,organik,1365
2020,Organik Tarım,tarım,1128
2021,Organik Tarım,tarım,1094
2021,Organik Tarım,organik,1070
2021,Sürdürülebilir Tarım,tarım,1035
2019,Organik Tarım,organik,954
2017,Organik Tarım,organik,913
2014,Organik Tarım,organik,900
2016,Organik Tarım,organik,833
2020,Sürdürülebilir Tarım,tarım,817
2019,Sürdürülebilir Tarım,tarım,730
2019,Organik Tarım,tarım,719
2021,Monokültür tarım,tarım,714
2020,Monokültür tarım,tarım,698
2016,Topraktaki Organik Madde Miktarı,toprak,685
2021,Pestisit Kullanımı,pestisit,620
2020,Organik Tarım,üretim,616
2021,Topraktaki Organik Madde Miktarı,toprak,608
2017,Organik Tarım,tarım,599
2018,Organik Tarım,tarım,589
2020,Pestisit Kullanımı,pestisit,587
2021,Pozitif Tarım,tarım,585
2021,Sürdürülebilir Tarım,sürdürülebilir,584
2021,Permakültür,permakültür,564
2017,Sürdürülebilir Tarım,tarım,563
2021,Sürdürülebilir Tarım,gıda,562
2015,Organik Tarım,organik,550
2019,Sürdürülebilir Tarım,sürdürülebilir,545
2019,Pestisit Kullanımı,pestisit,545
2021,Topraktaki Organik Madde Miktarı,organik,525
2015,Topraktaki Organik Madde Miktarı,toprak,524
2021,Pestisit Kullanımı,tarım,523
2021,Onarıcı Tarım,tarım,505
2016,Topraktaki Organik Madde Miktarı,organik,504
2014,Organik Tarım,tarım,500
2015,Organik Tarım,tarım,465
2020,Sürdürülebilir Tarım,sürdürülebilir,464
2020,Pozitif Tarım,tarım,458
2016,Organik Tarım,tarım,441
2020,Kompost Özütü,organik,435
2019,Monokültür tarım,tarım,435
2021,Toprak İşlemesiz Tarım,tarım,435
2020,Pestisit Kullanımı,tarım,428
2021,Monokültür tarım,toprak,428
2019,Permakültür,permakültür,421
2020,Permakültür,permakültür,414
2016,Monokültür tarım,tarım,409
2016,Sürdürülebilir Tarım,tarım,407
2015,Topraktaki Organik Madde Miktarı,organik,407
2020,Sürdürülebilir Tarım,gıda,404
2019,Pestisit Kullanımı,tarım,404
2021,Organik Tarım,kg,383
2019,Onarım Çağı,mimarlık,380
2014,Meraların Onarımı,kaynaklanan,376
2016,Savory Enstitüsü,x,375
2018,Monokültür tarım,tarım,371
2020,Onarıcı Tarım,tarım,367
