year,keyword,hashtag,count
2010,iyi tarım uygulamaları,#305,8
2010,iyi tarım uygulamaları,#351,2
2010,iyi tarım uygulamaları,#199,1
2010,iyi tarım uygulamaları,#231,1
2010,iyi tarım uygulamaları,#246,1
2011,iyi tarım uygulamaları,#305,7
2011,iyi tarım uygulamaları,#ekonomi,2
2011,iyi tarım uygulamaları,#287,1
2011,iyi tarım uygulamaları,#351,1
2011,permakültür,#permakültür,5
2011,permakültür,#1444724,1
2011,permakültür,#808000,1
2011,permakültür,#gardening,1
2011,permakültür,#sürdürülebiliryaşam,1
2011,permakültür,#tedxreset,1
2011,permakültür,#çanakkale,1
2011,sürdürülebilir tarım,#surdurulebilirlik,1
2011,sürdürülebilir tarım,#unilever,1
2012,doğa dostu tarım,#doğa,1
2012,doğa dostu tarım,#yesilhaberler,1
2012,iyi tarım uygulamaları,#mehdieker,5
2012,iyi tarım uygulamaları,#gıdamühendislerineadalet,4
2012,iyi tarım uygulamaları,#dindargenclikgeliyor,1
2012,iyi tarım uygulamaları,#dörtyol,1
2012,iyi tarım uygulamaları,#iyitarimuygulamalari,1
2012,permakültür,#permakültür,6
2012,permakültür,#039,3
2012,permakültür,#evim,2
2012,permakültür,#habergbi,2
2012,permakültür,#organikyaşam,2
2012,permakültür,#zamandeğişimi,2
2012,permakültür,#biyologsuzolmaz,1
2012,permakültür,#doğa,1
2012,permakültür,#ekodesigncunku,1
2012,permakültür,#haber,1
2012,permakültür,#nediyosun,1
2012,permakültür,#sürdürülebilir,1
2012,permakültür,#yesilhaberler,1
2012,pozitif tarım,#hisse,1
2012,pozitif tarım,#imkb,1
2012,sürdürülebilir tarım,#artikcayyokdeseler,2
2012,sürdürülebilir tarım,#sustliving,2
2012,sürdürülebilir tarım,#anayemekler,1
2012,sürdürülebilir tarım,#biodinamik,1
2012,sürdürülebilir tarım,#ecocert,1
2012,sürdürülebilir tarım,#gz12,1
2012,sürdürülebilir tarım,#haberler,1
2012,sürdürülebilir tarım,#kalitekongresi,1
2012,sürdürülebilir tarım,#lipton,1
2012,sürdürülebilir tarım,#nediyosun,1
2012,sürdürülebilir tarım,#organik,1
2012,sürdürülebilir tarım,#sürdürülebilir,1
2012,sürdürülebilir tarım,#yazarlarrama,1
2012,yeşil gübreleme,#gübreleme,1
2013,bütüncül yönetim,#melihemevlütankarayakarakaya,1
2013,doğa dostu tarım,#doğa,1
2013,doğa dostu tarım,#tarım,1
2013,doğa dostu tarım,#yalnızlık,1
2013,iyi tarım uygulamaları,#ziraatmühendisi,46
2013,iyi tarım uygulamaları,#25binziraatmühendisiatamabekliyor,2
2013,iyi tarım uygulamaları,#malatya,2
2013,iyi tarım uygulamaları,#suürünleri,2
2013,iyi tarım uygulamaları,#malatyaaktuel,1
2013,iyi tarım uygulamaları,#malatyam,1
2013,monokültür tarım,#ciftcisen,22
2013,monokültür tarım,#gdoyageçityok,1
2013,monokültür tarım,#tohumterörümonsanto,1
2013,permakültür,#permakültür,31
2013,permakültür,#ekoköy,3
2013,permakültür,#çanakkale,3
2013,permakültür,#ekolojik,2
2013,permakültür,#ankara,1
2013,permakültür,#aquaponics,1
2013,permakültür,#bahçem,1
2013,permakültür,#bayramiç,1
2013,permakültür,#bulusm,1
2013,permakültür,#doğa,1
2013,permakültür,#doğalhayat,1
2013,permakültür,#eartship,1
2013,permakültür,#ekotopluluk,1
2013,permakültür,#eksiduyuru,1
2013,permakültür,#haber,1
2013,permakültür,#halfetiiçin,1
2013,permakültür,#kompostu,1
2013,permakültür,#kurakçılpeyzaj,1
2013,permakültür,#kuzguncuk,1
2013,permakültür,#news,1
2013,permakültür,#organik,1
2013,permakültür,#proje,1
2013,permakültür,#romabostanı,1
2013,permakültür,#sancaktepe,1
2013,permakültür,#sağlık,1
2013,permakültür,#sonrası,1
2013,permakültür,#tayfakitapkafe,1
2013,permakültür,#yağmurbahçesi,1
2013,permakültür,#yağmurhasadı,1
2013,permakültür,#özelbahçeler,1
2013,pestisit kullanımı,#tekirdag,1
2013,sürdürülebilir tarım,#malatya,4
2013,sürdürülebilir tarım,#sustliving,3
2013,sürdürülebilir tarım,#direnekosistem,2
2013,sürdürülebilir tarım,#slowfood,2
2013,sürdürülebilir tarım,#suürünleri,2
2013,sürdürülebilir tarım,#benceyesilis,1
2013,sürdürülebilir tarım,#birkentistiyorum,1
2013,sürdürülebilir tarım,#gdo,1
2013,sürdürülebilir tarım,#gthb6bin,1
2013,sürdürülebilir tarım,#kekigisev,1
2013,sürdürülebilir tarım,#knorr,1
2013,sürdürülebilir tarım,#konukluveharrangenclerirahatsiz,1
2013,sürdürülebilir tarım,#konya,1
2013,sürdürülebilir tarım,#malatyaaktuel,1
2013,sürdürülebilir tarım,#malatyam,1
2013,sürdürülebilir tarım,#olmazsaolmaz,1
2013,sürdürülebilir tarım,#surdurulebilirlik,1
2013,sürdürülebilir tarım,#sursunbudunya,1
2013,sürdürülebilir tarım,#sürdürülebilir,1
2013,sürdürülebilir tarım,#sürdürülebilirtarim,1
2013,sürdürülebilir tarım,#sürdürülebilirtarım,1
2013,sürdürülebilir tarım,#web30istanbul,1
2013,sürdürülebilir tarım,#yazarlarrama,1
2013,sürdürülebilir tarım,#çayolmasaydı,1
2014,bütüncül yönetim,#bütüncülyönetim,4
2014,bütüncül yönetim,#allansavory,1
2014,bütüncül yönetim,#anadolumeraları,1
2014,bütüncül yönetim,#bütüncül,1
2014,bütüncül yönetim,#cemseymen,1
