year,keyword,mention,count
2010,permakültür,AddThis,3
2010,permakültür,subilgi,3
2010,permakültür,aygulozerdem,1
2011,permakültür,AddThis,10
2011,permakültür,subilgi,3
2011,permakültür,ercanbezan,2
2011,permakültür,okanbayulgen,2
2011,permakültür,PAE_Turkiye,1
2011,permakültür,Siyahperde,1
2011,permakültür,YesilistBlog,1
2011,permakültür,addthis,1
2011,permakültür,alpayalpayalpay,1
2011,permakültür,altintayt,1
2011,permakültür,c3y_,1
2011,permakültür,evrenuzervb,1
2011,permakültür,gidilis,1
2011,permakültür,memetalialabora,1
2011,permakültür,slowfoodgenclik,1
2011,permakültür,yesilgundem,1
2011,permakültür,zumbaradan,1
2012,bütüncül yönetim,Kahvecibrahim,1
2012,bütüncül yönetim,ilkererinc,1
2012,permakültür,AddThis,4
2012,permakültür,PAE_Turkiye,4
2012,permakültür,medicineWords,3
2012,permakültür,ntv,3
2012,permakültür,wordpressdotcom,2
2012,permakültür,EcmOzsy,1
2012,permakültür,KadimZaruret,1
2012,permakültür,M_A_Talat,1
2012,permakültür,NurTpll,1
2012,permakültür,YaseminSungur,1
2012,permakültür,YesilistBlog,1
2012,permakültür,cansungur,1
2012,permakültür,cemdinlenmis,1
2012,permakültür,cuneytozdemir,1
2012,permakültür,daghanirak,1
2012,permakültür,ecetrez,1
2012,permakültür,haticekolcak,1
2012,permakültür,limitsizenerji,1
2012,permakültür,ozguruniversite,1
2012,permakültür,sineksekiz,1
2012,permakültür,subilgi,1
2012,permakültür,wwwradikalcomtr,1
2012,permakültür,youtube,1
2012,pestisit kullanımı,dilekgokdemir,1
2012,pozitif tarım,ArdaTunca71,1
2012,pozitif tarım,Gurcan_ozturk,1
2013,onarıcı tarım,Ormanevi,1
2013,onarıcı tarım,yesilgazete,1
2013,permakültür,PAE_Turkiye,8
2013,permakültür,YeryuzuDernegi,4
2013,permakültür,tayfakitapkafe,4
2013,permakültür,Shareaholic,3
2013,permakültür,wordpressdotcom,3
2013,permakültür,youtube,2
2013,permakültür,AKILCILER,1
2013,permakültür,AmargiDergi,1
2013,permakültür,BBOMDernegi,1
2013,permakültür,BarakaIstanbul,1
2013,permakültür,BugdayDernegi,1
2013,permakültür,DirenKuzguncuk,1
2013,permakültür,HERSEY10DA,1
2013,permakültür,Marmariç,1
2013,permakültür,NHKMistanbul,1
2013,permakültür,Oozzan,1
2013,permakültür,PKolektifi,1
2013,permakültür,YedikuleBostani,1
2013,permakültür,YouTube,1
2013,permakültür,arfnarli,1
2013,permakültür,direngezi,1
2013,permakültür,ecotrendtr,1
2013,permakültür,egitimreformu,1
2013,permakültür,gmail,1
2013,permakültür,gumuslukakademi,1
2013,permakültür,gunesinoya,1
2013,permakültür,guvencms,1
2013,permakültür,halkaart_kabine,1
2013,permakültür,harslanbenzer,1
2013,permakültür,http,1
2013,permakültür,khasedutr,1
2013,permakültür,melisalphan,1
2013,permakültür,mesut_sure,1
2013,permakültür,sharethis,1
2013,permakültür,sineksekiz,1
2013,permakültür,yesilgazete,1
