year,keyword,count
2008,sürdürülebilir tarım,1
2009,doğa dostu tarım,1
2009,permakültür,7
2009,sürdürülebilir tarım,1
2010,iyi tarım uygulamaları,7
2010,permakültür,27
2010,pozitif tarım,2
2010,sürdürülebilir tarım,7
2010,toprak işlemesiz tarım,2
2011,agroekoloji,1
2011,iyi tarım uygulamaları,18
2011,konvansiyonel hayvancılık,1
2011,permakültür,119
2011,pozitif tarım,5
2011,sürdürülebilir tarım,13
2011,toprak işlemesiz tarım,1
2012,agroekoloji,3
2012,bütüncül yönetim,3
2012,doğa dostu tarım,13
2012,dönüşümlü ekim,5
2012,insan dostu tarım,2
2012,iyi tarım uygulamaları,41
2012,permakültür,267
2012,pestisit kullanımı,6
2012,pozitif tarım,14
2012,sürdürülebilir tarım,78
2012,toprağın su tutma kapasitesi,1
2012,yenileyici tarım,1
2012,yeşil gübreleme,7
2013,agroekoloji,1
2013,bütüncül yönetim,4
2013,doğa dostu tarım,5
2013,dönüşümlü ekim,4
2013,iklim dostu tarım,1
2013,iyi tarım uygulamaları,84
2013,konvansiyonel hayvancılık,2
2013,monokültür tarım,24
2013,onarıcı tarım,1
2013,permakültür,244
2013,pestisit kullanımı,9
2013,pozitif tarım,23
2013,savory enstitüsü,1
2013,sürdürülebilir tarım,140
2013,toprak işlemesiz tarım,5
2013,yeşil gübreleme,5
2014,agroekoloji,2
2014,bütüncül yönetim,72
2014,doğa dostu tarım,19
2014,dönüşümlü ekim,12
2014,ekolojik onarım,6
2014,fukuoka doğal tarım yöntemi,2
2014,insan dostu tarım,2
2014,iyi tarım uygulamaları,29
2014,monokültür tarım,2
2014,onarıcı tarım,22
2014,permakültür,289
2014,pestisit kullanımı,3
2014,pozitif tarım,20
2014,savory enstitüsü,13
2014,sürdürülebilir tarım,169
2014,toprak işlemesiz tarım,9
2014,yeşil gübreleme,7
2015,agroekoloji,2
2015,bütüncül planlı otlatma,1
2015,bütüncül yönetim,77
2015,doğa dostu tarım,19
2015,doğa temelli çözümler,1
2015,dönüşümlü ekim,1
2015,ekolojik onarım,3
2015,iklim dostu tarım,3
2015,insan dostu tarım,3
2015,iyi tarım uygulamaları,44
2015,monokültür tarım,2
2015,onarıcı tarım,77
2015,onarım çağı,3
2015,permakültür,262
2015,pestisit kullanımı,7
2015,planlı otlatma,1
2015,pozitif tarım,22
2015,savory enstitüsü,1
2015,sürdürülebilir tarım,283
2015,toprak işlemesiz tarım,1
2015,toprağa karbon gömme,2
2015,yeşil gübreleme,10
2016,agroekoloji,11
2016,bütüncül yönetim,26
2016,doğa dostu tarım,27
2016,doğa temelli çözümler,2
2016,dönüşümlü ekim,4
2016,ekolojik onarım,1
2016,insan dostu tarım,7
2016,iyi tarım uygulamaları,50
2016,konvansiyonel hayvancılık,1
2016,monokültür tarım,2
2016,onarıcı tarım,41
2016,permakültür,310
2016,pestisit kullanımı,7
2016,pozitif tarım,30
2016,sürdürülebilir tarım,350
2016,toprak işlemesiz tarım,4
2016,topraktaki organik madde miktarı,1
2016,toprağın su tutma kapasitesi,2
2016,yeşil gübreleme,27
2017,agroekoloji,8
2017,bütüncül yönetim,24
2017,doğa dostu tarım,23
2017,doğa temelli çözümler,1
2017,dönüşümlü ekim,2
2017,ekolojik onarım,1
2017,insan dostu tarım,6
2017,iyi tarım uygulamaları,49
2017,konvansiyonel hayvancılık,1
2017,monokültür tarım,4
2017,onarıcı tarım,56
2017,permakültür,275
2017,pestisit kullanımı,17
2017,pozitif tarım,27
2017,savory enstitüsü,1
2017,sürdürülebilir tarım,751
2017,toprak işlemesiz tarım,3
2017,yeşil gübreleme,18
2018,agroekoloji,14
2018,bütüncül planlı otlatma,3
2018,bütüncül yönetim,46
2018,doğa dostu tarım,27
2018,doğa temelli çözümler,9
2018,dönüşümlü ekim,9
2018,ekolojik onarım,2
2018,iklim dostu tarım,3
2018,insan dostu tarım,6
2018,iyi tarım uygulamaları,80
